name,job_title,phd_univ,phd_year,research_area,research_concentration,research_focus,url,img_url,phone,email,cell_phone,office_address,department,school
Mohamed Abdelfattah,Assistant Professor,Univ Toronto,2016,"Artificial Intelligence, Machine Learning",Artificial Intelligence,,https://www.mohsaied.com,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/prof_pic.jpg?itok=7zCvPZz4,,,,,"Electrical and Computer Engineering, Cornell Tech, CS Field Member;",
Jayadev Acharya,Assistant Professor,Univ California San Diego,2014,"Artificial Intelligence, Theory of Computing","Artificial Intelligence, Theory of Computation","Information theory, machine learning, and algorithmic statistics",https://people.ece.cornell.edu/acharya/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Acharya%2C%20Jayadev.jpg?itok=I8p4JoDd,,,,,"Electrical and Computer Engineering, CS Field Member",
Rachit Agarwal,Associate Professor ,Univ Illinois Urbana-Champaign,2013,"Systems and Networking, Theory of Computing","Systems, Theory of Computation","Distributed systems, systems for big data analytics, networking, design and analysis of algorithms",http://www.cs.cornell.edu/~ragarwal/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Rachit.png?itok=RVkyDZkU,,,,,"Computer Science, CS Field Member",
David Albonesi,Professor,Univ Mass Amherst,1996,"Computer Architecture & VLSI, Systems and Networking",Systems,"Adaptive and reconfigurable multi-core and processor architectures, power- and reliability-aware computing, and high performance interconnect architectures using silicon nanophotonics",http://www.csl.cornell.edu/~albonesi/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Albonesi%2C%20David.jpg?itok=_1dGGHdi,,,,,"Electrical and Computer Engineering, CS Field Member",
Lorenzo Alvisi,Professor,Cornell Univ,1996,Systems and Networking,Systems,Theory and practice of dependable distributed computing,http://www.cs.cornell.edu/lorenzo/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Alvisi%2C%20Lorenzo.jpg?itok=zSFXL_XL,,,,,"Computer Science, CS Field Member, Tisch University Professor",
Yoav Artzi,Associate Professor,Univ Washington,2015,Artificial Intelligence,Artificial Intelligence,"Natural language processing, situated language understanding, automated natural language interaction, machine learning",http://yoavartzi.com/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Artzi%2C%20Yoav_0.jpg?itok=xO3ZGsaq,,,,,"Computer Science, Cornell Tech, CS Field Member",
Shiri Azenkot,Associate Professor,Univ Washington,2014,Human Interaction,Scientific Computing and Applications,Human-computer Interactions  and Accessibility,http://shiriazenkot.com/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/tech_20190926_021_shiri_edit.png?itok=qx4w7Bb5,,,,,Jacobs Technion-Cornell Institute; CS Field Member,
Kavita Bala,Professor and Dean of Cornell Bowers CIS,MIT,1999,"Artificial Intelligence, Graphics, Vision","Artificial Intelligence, Programming Languages and Logics, Scientific Computing and Applications","Computer graphics—scalable graphics; perceptually-based, realistic rendering; image-based texturing and modeling",http://www.cs.cornell.edu/~kb/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/bala_kavita.jpg?itok=Vl8qUhgI,,,,,"Computer Science, Chair, CS Field Member",
Siddhartha  Banerjee,Assistant Professor,Univ Texas Austin,2013,Theory of Computing,Theory of Computation,"Stochastic Modeling, Design of Scalable Algorithms, Matching Markets and Social Computing, Control of Information-Flows, Learning and Recommendation",https://people.orie.cornell.edu/sbanerjee/index.html,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Banerjee%2C%20Siddhartha.JPG?itok=x_EjigTb,,,,,"Operations Research and Information Engineering, CS Field Member",
Christopher Batten,Professor,MIT,2010,"Computer Architecture & VLSI, Systems and Networking",Systems,"Computer Architecture, Electronic Design Automation, Digital VLSI",http://www.csl.cornell.edu/~cbatten/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/batten_.png?itok=edN-a6pX,,,,,"Electrical and Computer Engineering, CS Field Member",
Tapomayukh Bhattacharjee,Assistant Professor,Georgia Institute Technology,2017,"Artificial Intelligence, Human Interaction, Machine Learning, Robotics","Artificial Intelligence, Scientific Computing and Applications, Systems","Human-Robot Interaction, Robot Manipulation, Haptic Perception, Assistive Robotics",https://sites.google.com/site/tapomayukh/home,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/tapo.png?itok=mZZbkDyB,,,,,"Computer Science, CS Field Member",
David Bindel,"Associate Professor and Associate Dean for Diversity, Equity, and Inclusion",Univ California Berkeley,2006,Scientific Computing,Scientific Computing and Applications,"Microelectromechanical systems (MEMS), numerical linear algebra, finite element analysis, floating point computation and network tomography",http://www.cs.cornell.edu/~bindel/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Bindel%2C%20David.jpg?itok=8s2JcA2j,,,,,"Computer Science, CS Field Member",
